Date,Title,Description,Notes,1962ordo.today URL
"Saturday, January 11, 2020",B. V. M. on Saturday,"IV class  
White

Commemoration of St. Hyginus, Pope and Martyr","IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive)",https://1962ordo.today/day/bvm-on-saturday-9-2-2-2/
"Sunday, January 12, 2020",The Holy Family,"II class  
White",There is no commemoration of the Sunday in the Mass and the Office,https://1962ordo.today/day/feast-holy-family-2-2/
"Monday, January 13, 2020",The Baptism of Our Lord Jesus Christ,"II class  
White","The Season after Epiphany begins tomorrow. To review the seasonal notes, click
on the _Season_ icon at the bottom of the page.",https://1962ordo.today/day/commemoration-baptism-lord-jesus-christ-2/
"Tuesday, January 14, 2020",St. Hillary,"Bishop, Confessor, and Doctor of the Church

III class  
White

Commemoration of St. Felix, Priest and Martyr","Mass _Iustus_ , Gloria, commemoration of St. Felix, no Credo, common preface",https://1962ordo.today/day/st-hillary-2/
"Wednesday, January 15, 2020","St. Paul, First Hermit","Confessor

III class  
White

Commemoration of St. Maurus, Abbot","Mass _Iustus_ , Gloria, commemoration of St. Maurus, no Credo, common preface",https://1962ordo.today/day/st-paul-first-hermit-2-2/
"Thursday, January 16, 2020",St. Marcellus I,"Pope and Martyr

III class  
Red","Mass _Si diligis,_ Gloria, no Credo, common preface",https://1962ordo.today/day/st-marcellus-i-2-2/
"Friday, January 17, 2020",St. Anthony the Hermit,"Abbot

III class  
White","Mass _Os iusti,_ Gloria, no Credo, common preface",https://1962ordo.today/day/st-anthony-hermit-2-2/
"Saturday, January 18, 2020",B. V. M. on Saturday,"IV class  
White

Commemoration of St. Prisca, Virgin and Martyr","**Mass of the BVM on Saturday** (White), Gloria, commemoration added, no
Credo, preface of the BVM with _Et te in veneratione_",https://1962ordo.today/day/bvm-on-saturday-9-2-2-2-2/
"Sunday, January 19, 2020",II Sunday after Epiphany,"II class  
Green","Mass of the Sunday, Gloria, Credo, preface of the Holy Trinity",https://1962ordo.today/day/ii-sunday-epiphany-2-2/
"Monday, January 20, 2020",Sts. Fabian and Sebastian,"Pope (St. Fabian) and Martyrs

III class  
Red","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/sts-fabian-sebastian-2/
"Tuesday, January 21, 2020",St. Agnes,"Virgin and Martyr

III class  
Red",Mass of the feast; Gloria; no Credo; common preface,https://1962ordo.today/day/st-agnes-2/
"Wednesday, January 22, 2020",Sts. Vincent and Anastasius,"Martyrs

III class  
Red","Mass of the feast _,_ Gloria, no Credo, common preface",https://1962ordo.today/day/sts-vincent-anastasius-2-2/
"Thursday, January 23, 2020",St. Raymund of Pennafort,"Confessor

III class  
White

Commemoration of St. Emerentiana, Virgin and Martyr","Mass _Os Iusti;_ proper Collect; commemoration of St. Emerentiana; Gloria, no
Credo, common preface",https://1962ordo.today/day/st-raymund-pennafort-2-2/
"Friday, January 24, 2020",St. Timothy,"Bishop and Martyr

III class  
Red","Mass _Statuit,_ Gloria, no Credo, common preface",https://1962ordo.today/day/st-timothy-2-2/
"Saturday, January 25, 2020",Conversion of St. Paul,"Apostle

III class  
White

Commemoration of St. Peter, Apostle","Mass of the feast; Gloria, commemoration of St. Peter under one conclusion; no
Credo; preface of the Apostles",https://1962ordo.today/day/conversion-st-paul-2-2/
"Sunday, January 26, 2020",III Sunday after Epiphany,"II class  
Green","Mass of the 3rd Sunday after Epiphany; Gloria; Credo; preface of the Holy
Trinity",https://1962ordo.today/day/dominica-iii-epiphany-2-2/
"Monday, January 27, 2020",St. John Chrysostom,"Bishop, Confessor, and Doctor of the Church

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/sts-fabian-sebastian-2-2/
"Tuesday, January 28, 2020",St. Peter Nolasco,"Confessor

III class  
White",Proper Mass; Gloria; no Credo; common preface; commemoration of St. Agnes,https://1962ordo.today/day/st-peter-nolasco-2/
"Wednesday, January 29, 2020",St. Francis de Sales,"Bishop, Confessor, Doctor of the Church

III class  
White",Mass _In medio_ ; proper Collect; Gloria; no Credo; common preface,https://1962ordo.today/day/st-francis-de-sales-2-2/
"Thursday, January 30, 2020",St. Martina,"Virgin and Martyr

III class  
Red",Mass _Loquebar;_ Gloria; no Credo; common preface,https://1962ordo.today/day/st-martina-2-2/
"Friday, January 31, 2020",St. John Bosco,"Confessor

III class  
White",Proper Mass; Gloria; no Credo; common preface,https://1962ordo.today/day/st-john-bosco-2-2/
"Saturday, February 1, 2020",St. Ignatius of Antioch,"Bishop and Martyr

III class  
Red

 ** _First Saturday_**","The First Saturday votive Mass may be said: “one Mass of the Immaculate Heart
of the Blessed Virgin Mary, on the first Saturday of each month, in churches
and oratories in which special devotions are held on that day in honor of the
Immaculate Heart of Mary” ( _Rubricæ generales_ , 385c).",https://1962ordo.today/day/st-ignatius-antioch-2-2/
"Sunday, February 2, 2020","Purification of the B.V.M, Candlemas","II class  
White

No commemoration of the Sunday","This feast for liturgical purposes is considered a feast of the Lord. As a II
class Feast of the Lord, it outranks a II class Sunday in the table of
precedence, and the latter is not commemorated because it is also of the Lord
(same Person).

The blessing of candles and procession are held today. For notes about these
ceremonies, see the _Reminder_ information below, or see the seasonal notes
for the Season after Epiphany by clicking on the _Season_ icon at the bottom
of the page.

The Compline antiphon of the BVM changes today to _Ave Regina Caelorum,_ which
is used until Wednesday of Holy Week.",https://1962ordo.today/day/purification-b-v-m-candlemas-2-2/
"Monday, February 3, 2020",Monday after the IV Sunday after Epiphany,"IV class  
Green

Commemoration of St. Blaise, Bishop and Martyr","The blessing of throats is traditionally done today, on St. Blaise’s Day. For
notes about the blessing, see _Reminder_ below; they are included also in the
notes for the Season after Epiphany, accessed by clicking the _Season_ icon at
the bottom of the page.",https://1962ordo.today/day/feria-iii-after-dom-xvi-pent-2-2-6/
"Tuesday, February 4, 2020",St. Andrew Corsini,"Bishop and Confessor

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/st-andrew-corsini-2/
"Wednesday, February 5, 2020",St. Agatha,"Virgin and Martyr

III class  
Red","Proper Mass _Gaudeamus,_ Gloria, no Credo, common preface",https://1962ordo.today/day/st-agatha-2-2/
"Thursday, February 6, 2020",St. Titus,"Bishop and Confessor

III class  
White

Commemoration of St. Dorothy, Virgin and Martyr

 ** _First Thursday_**","The First Thursday votive Mass may be said: “one Mass of our Lord Jesus
Christ, eternal High Priest, on the first Thursday or the first Saturday of
each month, in churches and oratories in which special devotions are held on
that day for the sanctification of the clergy” ( _Rubricæ generales_ , 385a).",https://1962ordo.today/day/st-titus-2-2/
"Friday, February 7, 2020",St. Romuald,"Abbot

III class  
White

 _ **First Friday**_","The First Friday votive Masses may be said: “two Masses of the Most Sacred
Heart of Jesus, on the first Friday of each month, in churches and oratories
in which special devotions are held on that day in honor of the Sacred Heart”
( _Rubricæ generales_ , 385b).",https://1962ordo.today/day/st-romuald-2-2/
"Saturday, February 8, 2020",St. John of Matha,"Confessor

III class  
White","Mass _Os iusti_ with proper collect, Gloria, common preface",https://1962ordo.today/day/st-john-of-matha-2-2/
"Sunday, February 9, 2020",Septuagesima Sunday,"II class  
Violet","**For Septuagesima:**

The seasonal color is Violet; **the _Alleluia_ is not pronounced** in any part
of the sacred liturgy, neither in the Mass nor in the Office (note especially
the use of _Laus tibi, Domine_ instead of _Alleluia_ at the beginning of each
hour); the _Gloria_ and _Te Deum_ are not used on ferial days of this season;
the tract is not said on ferial days, but is used when the Mass is of a
Sunday, feast day, or votive.

To review the complete seasonal notes and regulations for the time of
Septuagesima, click on the _Season_ icon at the bottom of the page.",https://1962ordo.today/day/dominica-septuagesima-2-2/
"Monday, February 10, 2020",St. Scholastica,"Virgin

III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/sts-cosmas-and-damian-2-2-12/
"Tuesday, February 11, 2020",Apparition of the B.V.M at Lourdes,"III class  
White","Mass of the feast, Gloria, no Credo, common preface",https://1962ordo.today/day/apparition-bvm-lourdes-2/
"Wednesday, February 12, 2020",Seven Holy Founders,"Confessors (Founders of the Servite Order of the BVM)

III class  
White","Proper Mass _Iusti decantaverunt_ , Gloria, common preface",https://1962ordo.today/day/seven-holy-founders-2-2/
"Thursday, February 13, 2020",Thursday after Septuagesima,"IV class  
Violet","Mass of preceding Sunday (Violet), no Gloria, no Credo, common preface",https://1962ordo.today/day/feria-v-after-septuagesima-2-2-2/
"Friday, February 14, 2020",Friday after Septuagesima,"IV class  
Violet

Commemoration of St. Valentine, Priest and Martyr","Mass of preceding Sunday (Violet), no Gloria, commemoration added, no Credo,
common preface

OR

Mass of the commemorated feast, Gloria, no Credo, common preface",https://1962ordo.today/day/feria-ii-after-septuagesima-2/
"Saturday, February 15, 2020",B. V. M. on Saturday,"IV class  
White

Commemoration of Sts. Faustinus and Jovita, Martyrs","Mass of the B.V.M. on Saturday (White), Gloria, no Credo, preface of the
B.V.M. with _Et te in veneratione_",https://1962ordo.today/day/bvm-on-saturday-10-2/
"Sunday, February 16, 2020",Sexagesima Sunday,"II class  
Violet","Mass of Sexagesima Sunday; Gloria is omitted; Credo; preface of the Holy
Trinity",https://1962ordo.today/day/dominica-sexagesima-2-2/
"Monday, February 17, 2020",Monday after Sexagesima,"IV class  
Violet","Mass of preceding Sunday (Violet), no Gloria, no Credo, common preface",https://1962ordo.today/day/feria-ii-after-sexagesima-2/
"Tuesday, February 18, 2020",Tuesday after Sexagesima,"IV class  
Violet

Commemoration of St. Simeon, Bishop and Martyr","Today is also the feast of St. Bernadette Soubirous; her Mass may be said,
with commemoration of St. Simeon. One of the Masses _“Pro Virgine Tantum”_
from the Common of Virgins _(Dilexisti_ or _Vultum tuum)_ may be used.",https://1962ordo.today/day/feria-ii-after-septuagesima-3/
"Wednesday, February 19, 2020",Wednesday after Sexagesima,"IV class  
Violet","Mass of preceding Sunday (Violet), no Gloria, omit Tract, no Credo, common
preface",https://1962ordo.today/day/feria-v-after-sexagesima-2-2-2/
"Thursday, February 20, 2020",Thursday after Sexagesima,"IV class  
Violet","Mass of preceding Sunday (Violet), no Gloria, omit Tract, no Credo, common
preface",https://1962ordo.today/day/feria-v-after-sexagesima-2-2-3/
"Friday, February 21, 2020",Friday after Sexagesima,"IV class  
Violet","Mass of preceding Sunday (Violet), no Gloria, no Credo, common preface",https://1962ordo.today/day/feria-vi-after-sexagesima-2/
"Saturday, February 22, 2020",Chair of St. Peter,"II class  
White

Commemoration of St. Paul, Apostle","Proper Mass _Statuit ei;_ Gloria; commemoration of St. Paul under one
conclusion; Credo; Preface of the Apostles",https://1962ordo.today/day/chair-of-st-peter-2-2/
"Sunday, February 23, 2020",Quinquagesima Sunday,"II class  
Violet","Mass of Quinquagesima Sunday; Gloria is omitted; Credo; preface of the Holy
Trinity",https://1962ordo.today/day/dominica-quinquagesima-2-2/
"Monday, February 24, 2020",Monday after Quinquagesima,"IV class  
Violet",The feast of St. Matthias is moved to tomorrow due to the leap year,https://1962ordo.today/day/feria-iii-after-quinquagesima-2-2-2-2/
"Tuesday, February 25, 2020",St. Matthias,"Apostle

II class  
Red",The Feast of St. Matthias is transferred from yesterday due to the leap year,https://1962ordo.today/day/st-matthias-2/
"Wednesday, February 26, 2020",Ash Wednesday,"I class  
Violet

Fast and Abstinence _de iure_","The ashes are blessed and imposed before Mass. If the main Mass with the
blessing of the ashes takes place late in the morning, the ashes may be
blessed without chant early in the morning so that they may be imposed on the
faithful at the earlier Masses. If there is a well-attended Mass in the
evening, the blessing of the ashes may be done also at that Mass for the
benefit of the faithful, although it is not necessary that the blessing be
repeated.",https://1962ordo.today/day/ash-wednesday-2-2/
"Thursday, February 27, 2020",Thursday after Ash Wednesday,"III class  
Violet","The commemoration of St. Gabriel of the Sorrowful Virgin is moved to tomorrow
due to the leap year",https://1962ordo.today/day/feria-v-after-ash-wednesday-2-2/
"Friday, February 28, 2020",Friday after Ash Wednesday,"III class  
Violet

Commemoration of St. Gabriel of the Sorrowful Virgin

Abstinence _de jure_","The commemoration of St. Gabriel of the Sorrowful Virgin is moved to today due
to the leap year",https://1962ordo.today/day/feria-vi-after-ash-wednesday-2-2/
"Saturday, February 29, 2020",Saturday after Ash Wednesday,"III class  
Violet","Mass of Saturday after Ash Wednesday; no Gloria; no Credo; Preface for Lent;
Prayer over the people",https://1962ordo.today/day/saturday-after-ash-wednesday-2-2/
"Sunday, March 1, 2020",I Sunday of Lent,"I class  
Violet","_Tempus Quadragesimae_ begins today and is used in ferial and Sunday Offices.
To review the complete seasonal notes and regulations for the time of Lent,
click on the _Season_ icon at the bottom of the page

Funerals are not permitted today",https://1962ordo.today/day/dominica-i-of-lent-2-2/
"Monday, March 2, 2020",Monday after the 1st Sunday of Lent,"III class  
Violet","Mass of Monday after 1st Sunday of Lent; no Gloria; no Credo; Preface for
Lent; Prayer over the people",https://1962ordo.today/day/feria-ii-after-1st-sunday-lent-2-2/
"Tuesday, March 3, 2020",Tuesday after the 1st Sunday of Lent,"III class  
Violet","Mass of the Lenten feria; no Gloria; no Credo; Preface for Lent; Prayer over
the people",https://1962ordo.today/day/feria-iii-after-1st-sunday-lent-2-2/
"Wednesday, March 4, 2020",Ember Wednesday of Lent,"II class  
Violet

Commemoration of St. Casimir, Confessor

Traditional day of fast and partial abstinence in the USA","Information on Ember Days and the particular rubrics of _Flectamus genua_ can
be found in _[Rubrical FAQs](https://1962ordo.today/1962-rubrics/#accordion-
item-10)_",https://1962ordo.today/day/ember-wednesday-of-lent-2-2/
"Thursday, March 5, 2020",Thursday after the 1st Sunday of Lent,"III class  
Violet

 _ **First Thursday**_","The First Thursday votive Mass may be said: “one Mass of our Lord Jesus
Christ, eternal High Priest, on the first Thursday or the first Saturday of
each month, in churches and oratories in which special devotions are held on
that day for the sanctification of the clergy” ( _Rubricæ generales_ , 385a).",https://1962ordo.today/day/feria-v-after-4th-sunday-lent-2-2/
"Friday, March 6, 2020",Ember Friday of Lent,"II class  
Violet

Commemoration of Sts. Perpetua and Felicity, Martyrs

Abstinence _de jure;_ also a traditional day of fast in the USA

 **First Friday**","Information on Ember Days and the particular rubrics of _Flectamus genua_ are
found in _[Rubrical FAQs](https://1962ordo.today/1962-rubrics/#accordion-
item-10)._

The First Friday votive Mass may not be celebrated, although the customary
devotions for First Friday may still be held, such as Acts of Reparation and
of Consecration to the Sacred Heart, the Litany, etc.",https://1962ordo.today/day/ember-friday-of-lent-2-2/
"Saturday, March 7, 2020",Ember Saturday of Lent,"II class  
Violet

Commemoration of St. Thomas Aquinas, Confessor and Doctor of the Church

 **First Saturday**

Traditional day of fast and partial abstinence in the USA","The First Saturday votive Mass may not be celebrated, although the customary
devotions for First Saturday may still be held, such as Acts of Reparation and
of Consecration to the Immaculate Heart, the Litany, etc.",https://1962ordo.today/day/ember-saturday-lent-2/
"Sunday, March 8, 2020",II Sunday of Lent,"I class  
Violet",Funerals are not permitted today,https://1962ordo.today/day/dominica-ii-of-lent-2-2/
"Monday, March 9, 2020",Monday after the 2nd Sunday of Lent,"III class  
Violet

Commemoration of St. Francesca Romana, Widow","Mass of the feria; no Gloria; commemoration added; no Credo; Preface for Lent;
Prayer over the people",https://1962ordo.today/day/feria-iv-after-2-lent-2-2/
"Tuesday, March 10, 2020",Tuesday after the 2nd Sunday of Lent,"III class  
Violet

Commemoration of the Four Holy Crowned Martyrs","Mass of the feria; no Gloria; commemoration added; no Credo; Preface for Lent;
Prayer over the people",https://1962ordo.today/day/feria-iv-after-2-lent-2-3/
"Wednesday, March 11, 2020",Wednesday after the 2nd Sunday of Lent,"III class  
Violet","Mass of the feria; no Gloria; no Credo; Preface for Lent; Prayer over the
people",https://1962ordo.today/day/feria-iv-after-2-lent-2-4/
"Thursday, March 12, 2020",Thursday after the 2nd Sunday of Lent,"III class  
Violet

Commemoration of St. Gregory the Great, Pope, Confessor, and Doctor of the
Church","Mass of the feria; no Gloria; commemoration of St. Gregory; no Credo; Preface
for Lent; Prayer over the people",https://1962ordo.today/day/feria-v-after-2-lent-2-2/
"Friday, March 13, 2020",Friday after the 2nd Sunday of Lent,"III class  
Violet

Abstinence _de jure_","Mass of the feria; no Gloria; no Credo; Preface for Lent; Prayer over the
people",https://1962ordo.today/day/feria-vi-after-2-lent-2-2-2/
"Saturday, March 14, 2020",Saturday after the 2nd Sunday of Lent,"III class  
Violet","Mass of the feria; no Gloria; no Credo; Preface for Lent; Prayer over the
people",https://1962ordo.today/day/sabbato-after-2-lent-2-2/
"Sunday, March 15, 2020",III Sunday of Lent,"I class  
Violet",Funerals are not permitted,https://1962ordo.today/day/dominica-iii-of-lent-2-2/
"Monday, March 16, 2020",Monday after the 3rd Sunday of Lent,"III class  
Violet","Mass of the feria; no Gloria; no Credo; Preface for Lent; Prayer over the
people",https://1962ordo.today/day/feria-iii-after-3-lent-2-2/
"Tuesday, March 17, 2020",Tuesday after the 3rd Sunday of Lent,"III class  
Violet

Commemoration of St. Patrick, Bishop and Confessor","Mass of the feria; no Gloria; commemoration added; no Credo; Preface for Lent;
Prayer over the people",https://1962ordo.today/day/feria-iii-after-3-lent-2-3/
"Wednesday, March 18, 2020",Wednesday after the 3rd Sunday of Lent,"III class  
Violet

Commemoration of St. Cyril of Jerusalem","Mass of the feria; no Gloria; commemoration of St. Cyril; no Credo; Preface
for Lent; Prayer over the people",https://1962ordo.today/day/feria-ii-after-2-lent-2/
"Thursday, March 19, 2020",St. Joseph,"Spouse of the Blessed Virgin Mary, Confessor

I class  
White","Mass of St. Joseph; Gloria; commemoration of the feria; Credo; Preface of St.
Joseph with _Et te in festivitate_",https://1962ordo.today/day/st-joseph-2-2/
"Friday, March 20, 2020",Friday after the 3rd Sunday of Lent,"III class  
Violet

Abstinence _de jure_","Mass of the feria; no Gloria; no Credo; Preface for Lent; Prayer over the
people",https://1962ordo.today/day/feria-iv-after-3-lent-2-2-2/
"Saturday, March 21, 2020",Saturday after the 3rd Sunday of Lent,"III class  
Violet

Commemoration of St. Benedict, Abbot","Mass of the feria; no Gloria; commemoration added; no Credo; Preface for Lent;
Prayer over the people",https://1962ordo.today/day/sabbato-after-3-lent-2-2-2/
"Sunday, March 22, 2020",IV Sunday of Lent (Laetare Sunday),"I class  
Rose (or Violet)","Today flowers may be used on the altar, the organ and other musical
instruments may play, relics are exposed on the altar gradines, and Rose
vestments are substituted for violet in the Office and Mass

Funerals are not permitted",https://1962ordo.today/day/dominica-iv-of-lent-2-2/
"Monday, March 23, 2020",Monday after the 4th Sunday of Lent,"III class  
Violet","Mass of Monday after 4th Sunday of Lent; no Gloria; no Credo; Preface for
Lent; Prayer over the people",https://1962ordo.today/day/feria-ii-after-4th-sunday-lent-2-2/
"Tuesday, March 24, 2020",Tuesday after the 4th Sunday of Lent,"III class  
Violet","Mass of Tuesday after 4th Sunday of Lent; no Gloria; no Credo; Preface for
Lent; Prayer over the people",https://1962ordo.today/day/feria-iii-after-4th-sunday-lent-2-2/
"Wednesday, March 25, 2020",Annunciation of the B.V.M,"I class  
White","Mass of the Annunciation; Gloria; commemoration of the feria; Credo; Preface
of the B.V.M with _Et te in Annuntiatione_",https://1962ordo.today/day/annunciation-2-2/
"Thursday, March 26, 2020",Thursday after the 4th Sunday of Lent,"III class  
Violet","Mass of Thursday after the 4th Sunday of Lent; no Gloria; no Credo; Preface
for Lent; Prayer over the people",https://1962ordo.today/day/feria-v-after-4th-sunday-lent-2-3/
"Friday, March 27, 2020",Friday after the 4th Sunday of Lent,"III class  
Violet

Commemoration of St. John Damascene, Confessor and Doctor of the Church

Abstinence _de jure_","Mass of Friday after the 4th Sunday of Lent; no Gloria; commemoration of the
saint; no Credo; Preface for Lent; Prayer over the people",https://1962ordo.today/day/feria-vi-after-4th-sunday-lent-2-2-2/
"Saturday, March 28, 2020",Saturday after the 4th Sunday of Lent,"III class  
Violet

Commemoration of St. John Capistran, Confessor","Passiontide begins with I Vespers today. During Passiontide, crosses and
statues are covered by violet veils, until Good Friday for crosses and the
Paschal Vigil for the statues. (Coverings do not need to be affixed onto
murals, nor onto bas-reliefs such as images engraved or carved under altars.)",https://1962ordo.today/day/saturday-after-4th-sunday-lent-2-2/
"Sunday, March 29, 2020",Passion Sunday,"I class  
Violet","During Passiontide, starting with I Vespers last evening, crosses and statues
are covered by violet veils, until Good Friday for crosses and the Paschal
Vigil for the statues. (Coverings do not need to be affixed onto murals or
bas-reliefs.)

From this Sunday to Holy Thursday inclusive, in Masses of the season, the
psalm _Iudica me_ is omitted, as well as the _Gloria Patri_ in the psalm at
the _Asperges_ , at the Introit and after the psalm _Lavabo_

Funerals are not permitted today",https://1962ordo.today/day/dominica-passionis-2-2/
"Monday, March 30, 2020",Monday in Passion Week,"III class  
Violet","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo._",https://1962ordo.today/day/feria-ii-in-passion-week-2-2-2/
"Tuesday, March 31, 2020",Tuesday in Passion Week,"III class  
Violet","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo._",https://1962ordo.today/day/feria-iii-in-passion-week-2-2/
"Wednesday, April 1, 2020",Wednesday in Passion Week,"III class  
Violet","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo_",https://1962ordo.today/day/feria-iv-in-passion-week-2-2/
"Thursday, April 2, 2020",Thursday in Passion Week,"III class  
Violet

Commemoration of St. Francis of Paula, Confessor

 _ **First Thursday**_","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo._

The First Thursday votive Mass may be said: “one Mass of our Lord Jesus
Christ, eternal High Priest, on the first Thursday or the first Saturday of
each month, in churches and oratories in which special devotions are held on
that day for the sanctification of the clergy” ( _Rubricæ generales_ , 385a).",https://1962ordo.today/day/feria-v-in-passion-week-2-2/
"Friday, April 3, 2020",Friday in Passion Week,"III class  
Violet

Commemoration of the Seven Sorrows of the Blessed Virgin Mary

 ** _First Friday_**

Abstinence _de jure_","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo._

The First Friday votive Masses may be said: “two Masses of the Most Sacred
Heart of Jesus, on the first Friday of each month, in churches and oratories
in which special devotions are held on that day in honor of the Sacred Heart”
( _Rubricæ generales_ , 385b).",https://1962ordo.today/day/feria-vi-in-passion-week-2-2/
"Saturday, April 4, 2020",Saturday in Passion Week,"III class  
Violet

Commemoration of St. Isidore of Seville, Bishop, Confessor, and Doctor of the
Church

 _ **First Saturday**_","In Masses of the season, the psalm _Iudica me_ is omitted, as well as the
_Gloria Patri_ at the Introit and after the psalm _Lavabo._

The First Saturday votive Mass may be said: “one Mass of the Immaculate Heart
of the Blessed Virgin Mary, on the first Saturday of each month, in churches
and oratories in which special devotions are held on that day in honor of the
Immaculate Heart of Mary” ( _Rubricæ generales_ , 385c).",https://1962ordo.today/day/saturday-in-passion-week-2-2/
"Sunday, April 5, 2020",Palm Sunday,"I class  
Red and Violet","The altars should be adorned with palm fronds and arrangements, and fittingly
the processional cross and other areas of the church may be decorated in the
same manner. The altar cross remains veiled in violet per the rubrics of
Passiontide.

Funerals are not permitted.",https://1962ordo.today/day/dominica-in-palmis-2-2/
"Monday, April 6, 2020",Monday in Holy Week,"I class

Violet","Proper Mass. The prayers at the foot of the altar are those of Passiontide
(the psalm _Judica me_ is omitted, the rest retained). No Gloria. No Credo.
Preface of the Holy Cross. Prayer over the people.",https://1962ordo.today/day/feria-ii-holy-week-2-2/
"Tuesday, April 7, 2020",Tuesday in Holy Week,"I class

Violet","Proper Mass. The prayers at the foot of the altar are those of Passiontide
(the psalm _Judica me_ is omitted, the rest retained). No Gloria. The Gospel
is the Passion from St. Mark. The celebrant says _Munda cor meum_ , but omits
signing the missal and himself; likewise he omits kissing the missal at the
conclusion, and _Laus tibi Christe_ is omitted. No Credo. Preface of the Holy
Cross. Prayer over the people.",https://1962ordo.today/day/feria-iii-holy-week-2-2/
"Wednesday, April 8, 2020",Wednesday in Holy Week,"I class  
Violet

Also known as Spy Wednesday","In the private recitation of the Breviary, Matins of Maundy Thursday may be
anticipated today after two o’clock, with Lauds to be recited on the morrow.
In choir and in common, Matins and Lauds of Maundy Thursday are celebrated as
_Tenebrae_ tomorrow morning. However, in churches in which the Chrismal Mass
is celebrated, Matins may be anticipated even in common.",https://1962ordo.today/day/feria-iv-holy-week-2-2/
"Thursday, April 9, 2020",Holy Thursday,"I class  
Violet and White

Also called Maundy Thursday, because of the Mandatum.

The Triduum Sacrum begins, comprising Thursday through Saturday.  
Funerals are prohibited.","The blessing of meals today is: _Christus factus est pro nobis obediens usque
ad mortem._ ( _Cf._ reliqua in _Benedictio mensae_ , in either the _Rituale
Romanum_ or in the appendix of the Breviary).",https://1962ordo.today/day/feria-v-cena-domini-2-2/
